dataset,event_id,seeds,rms_median_s,rms_sd_s,rms_range_s,horizontal_median_km,horizontal_sd_km,horizontal_range_km,depth_shift_median_km,depth_shift_sd_km,depth_shift_range_km,boundary_frequency
new30,SGC2023vzpirs,10,0.4310353219934905,9.273169768686827e-10,3.4232051637772543e-09,11.03386704491292,0.000842275290116715,0.002456063316669699,20.000000000000004,0.0,0.0,1.0
new30,SGC2024lyrntx,10,0.2885868086726768,2.936383074903281e-15,9.159339953157541e-15,0.6178183410615414,7.257058643455048e-07,2.4729710547122252e-06,20.0,0.0,0.0,1.0
new30,SGC2025ycdafx,10,0.23981729196542234,3.817532539169957e-15,1.0852430065710905e-14,11.713173156837765,9.218985531039367e-07,2.985301192026668e-06,20.0,0.0,0.0,1.0
new30,SGC2025yshmnq,10,0.3764781164016964,3.0712826120656165e-15,8.548717289613705e-15,19.997131268059526,1.087346405774153e-06,3.4028620028436762e-06,-20.0,0.0,0.0,1.0
new30,SGC2025yxrhgz,10,0.5307312176006902,8.945365046074332e-11,2.9119939792821015e-10,6.187071452727519,2.6566133826780947e-07,7.53737001701893e-07,-20.0,0.0,0.0,1.0
new30,SGC2026arcexx,10,0.2821015620376267,4.126302089526592e-09,1.3034482826412841e-08,10.50631624229619,0.0005075295267230077,0.0020752891579682853,20.0,1.442410979802477e-08,4.589225000017905e-08,1.0
stratified32,SGC2019pdbii,10,0.48235021003294765,3.39607486311108e-15,9.603429163007604e-15,10.395098090245206,1.1939570191226304e-06,3.937915597163055e-06,20.0,0.0,0.0,1.0
stratified32,SGC2019pxebo,10,0.5215595482737153,4.842928538225127e-09,1.3900777418029975e-08,1.3396340677669119,9.734434880430651e-07,2.9020953478120504e-06,20.0,0.0,0.0,1.0
stratified32,SGC2019wbnvco,10,0.3089888633315999,3.0441285983885775e-15,9.43689570931383e-15,3.4350666759479855,6.239485256329419e-07,2.0163639553594237e-06,20.000000000000014,0.0,0.0,1.0
stratified32,SGC2020dtzpwj,10,0.38884823505796784,2.902725462623796e-15,8.271161533457416e-15,3.1758573063171442,7.535978844061129e-07,2.010577873967634e-06,20.000000000000014,0.0,0.0,1.0
stratified32,SGC2020gerodj,10,0.31307965380786584,2.895521340068647e-15,8.770761894538737e-15,5.249364329041793,6.90354530100645e-07,2.5160050336481277e-06,20.000000000000014,0.0,0.0,1.0
stratified32,SGC2022pdaiuz,10,1.1869470142864718,4.8918756686283436e-08,1.6212148845617946e-07,24.3516621473322,9.663874377632811e-07,3.213710279226234e-06,20.000000000000007,0.0,0.0,1.0
